QQ音乐,酷狗音乐
QQ,微信
PSP,ps3
K歌之王,麦霸
ipad,电脑
DNA,基因
CF,CS
AD钙奶,养乐多
座机,手机
坐井观天,鼠目寸光
作文,论文
作家,编剧
最炫民族风,江南style
助教,教授
助教,讲师
周瑜,诸葛亮
周立波,郭德纲
中央情报局,国家安全局
中性笔,钢笔
中秋节,端午节
中考,联考
中考,会考
中考,高考
蜘蛛侠,蜘蛛精
蜘蛛侠,蝙蝠侠
正太控,猛男控
正太控,萝莉控
甄嬛传,红楼梦
遮阳帽,鸭舌帽
赵敏,黄蓉
长统靴,高跟鞋
张学友,陈奕迅
张韶涵,王心凌
战国七雄,春秋五霸
战地之王,穿越火线
宅男,屌丝
增高鞋,高跟鞋
云吞,饺子
月季,玫瑰
元芳,展昭
鸳鸯戏水,龙凤呈祥
御姐控,正太控
御姐控,猛男控
御姐控,萝莉控
玉米,小米
玉帝,皇帝
宇航员,飞行员
与世无争,看破红尘
鱼香肉丝,鱼香茄子
油条,麻花
油画,素描
倚天剑,屠龙刀
以纯,森马
移动,联通
依恋,留恋
医师,律师
医师,法师
伊利,旺仔
伊利,爽歪歪
伊利,蒙牛
一言不发,言多必失
一无一切,无所不有
夜宵,烧烤
夜空,星空
叶孤城,西门吹雪
掩饰,隐瞒
掩饰,解释
烟花,礼炮
烟花,鞭炮
烟花,爆竹
熊二,熊大
新四军,日军
新年,跨年
谢娜张杰,邓超孙俪
小三,情人
小品,相声
小品,话剧
小笼包,灌汤包
小矮人,葫芦娃
香辣,麻辣
相机,相片
仙剑奇侠传,轩辕剑
夏家三千金,爱情睡醒了
喜服,婚纱
喜报,画报
喜报,黑板报
喜报,海报
洗衣粉,皂角粉
五月天,飞轮海
吴昕,谢娜
乌鸦,麻雀
卧底,眼线
卧底,特务
伪军,新四军
伪军,日军
伪军,八路军
微信,微博
旺仔,爽歪歪
旺仔,蒙牛
旺旺仙贝,旺旺雪饼
王菲,那英
万紫千红,花团锦簇
万紫千红,姹紫嫣红
万紫千红,百花齐放
外婆,爷爷
外婆,奶奶
外公,爷爷
外公,外婆
外公,奶奶
袜子,裤子
拖手,接吻
土豆网,爱奇艺
土豆粉,酸辣粉
图书店,图书馆
同学,同桌
甜瓜,香瓜
天天向上,快乐大本营
天天向上,非诚勿扰
天天酷跑,神庙逃亡
天然气,煤气
天龙八部,神雕侠侣
提子,葡萄
腾讯,百度
特务,眼线
淘宝网,糯米网
淘宝网,赶集网
唐伯虎,韦小宝
坦克,大炮
汰渍,立白
太子,皇帝
台湾,香港
台湾,澳门
塔罗牌,扑克牌
酸菜牛肉面,香辣牛肉面
搜狗,雅虎
搜狗,谷歌
搜狗,百度
宋小宝,小沈阳
松岛枫,苍井空
四喜丸子,鱼香肉丝
死了都要爱,离歌
水煮鱼,酸菜鱼
水桶,水盆
水桶,脸盆
水晶,玻璃
爽歪歪,蒙牛
双胞胎,龙凤胎
涮肉,烤肉
薯片,饼干
手艺,棋艺
手艺,茶艺
手舞足蹈,手忙脚乱
手帕,纸巾
手机壳,手机膜
手机,电话
世纪佳缘,百合网
史泰龙,施瓦辛格
食人族,食人鱼
十面埋伏,四面楚歌
湿巾,纸巾
湿巾,餐巾纸
狮身人面像,金字塔
剩女,御姐
省心,费心
生活费,零花钱
生菜,白菜
神话,童话
上帝,耶稣
三星,苹果
三星,华为
三角板,直尺
三国杀,英雄杀
瑞星,金山
日常用品,生活用品
日本豆腐,皮蛋豆腐
人质,绑票
人质,绑架
人质,绑匪
人妖,太监
人人网,脸盆网
人参果,王母蟠桃
全力以赴,勇往直前
蚯蚓,蛇
晴川,若曦
情商,智商
倾世皇妃,美人心计
锲而不舍,废寝忘食
前男友,男朋友
气泡,水泡
起点小说,顶点小说
棋艺,茶艺
七喜,雪碧
葡萄汁,葡萄酒
葡萄酒,鸡尾酒
票房大卖,节节高升
啤酒,葡萄酒
啤酒,鸡尾酒
啤酒,白酒
皮蛋豆腐,麻婆豆腐
碰碰车,过山车
糯米网,赶集网
女主持,女主播
女朋友,老婆
努尔哈赤,成吉思汗
牛肉干,猪肉脯
牛奶,豆浆
你妹,我靠
内奸,眼线
内奸,卧底
内奸,特务
内奸,反贼
奶糖,牛奶
奶糖,奶茶
奶牛,牛奶
奶牛,奶糖
奶牛,奶茶
奶奶,爷爷
奶茶,牛奶
那英,韩红
沐浴盐,沐浴露
木瓜,黄瓜
魔术师,魔法师
魔兽世界,魔兽争霸
摩托车,电动车
民歌,京剧
蜜蜂,蝴蝶
米线,粉丝
猛男控,萝莉控
美人痣,青春痘
美人鱼,美杜莎
梅花,樱花
眉毛,胡子
眉毛,胡须
满天星,薰衣草
妈妈,娘
裸婚,闪婚
乱弹棉花,反弹琵琶
律师,法师
绿豆,黄豆
绿茶,苦茶
录像,拍照
楼梯,电梯
榴莲,菠萝蜜
留恋不舍,眷恋
流星花园,花样男子
刘亦菲,刘诗诗
林青霞,王祖贤
两小无猜,青梅竹马
梁山伯与祝英台,罗密欧与朱丽叶
联考,高考
李湘,谢娜
李连杰,甄子丹
礼炮,鞭炮
蕾丝,黑丝
乐嘉,孟非
姥爷,爷爷
老佛爷,老天爷
劳心,省心
劳心,费心
劳心,放心
兰州拉面,沙县小吃
扩音器,麦克风
葵花宝典,辟邪剑谱
快播,暴风影音
口香糖,木糖醇
口若悬河,画饼充饥
口红,唇膏
空调,风扇
肯德基,麦当劳
可乐,薯条
可乐,汽水
可乐,汉堡
可乐,菠萝派
可口可乐,百事可乐
柯南,福尔摩斯
卷发,直发
橘子,橙子
九阴白骨爪,降龙十八掌
井底之蛙,鼠目寸光
惊涛骇浪,海不扬波
近视眼镜,隐形眼镜
芥末,辣椒
解释,说明
结婚,订婚
揭露,膨胀扩大
揭露,暴露
教授,讲师
脚踏车,自行车
交警,警察
奖牌,金牌
奖励,表扬
奖励,褒扬
奖励,褒奖
健美操,瑜伽
加菲猫,机器猫
加多宝,王老吉
急诊,门诊
吉野家,麦当劳
吉野家,肯德基
吉野家,必胜客
吉他,琵琶
基友,好友
鸡毛,鹅毛
鸡蛋,鸭蛋
会考,联考
会考,高考
回收站,垃圾桶
灰姑娘,白天鹅
画报,黑板报
化妆,美容
花园,菜园
护发素,洗发露
蝴蝶,飞蛾
胡说八道,语无伦次
猴,猿
红烧牛肉面,香辣牛肉面
红豆粥,绿豆粥
盒子,箱子
何炅,维嘉
何炅,李维嘉
杭州,苏州
汉堡包,肉夹馍
汉堡,薯条
汉堡,肉夹馍
汉堡,菠萝派
海虾,海蟹
海狮,海豚
海飞丝,飘柔
海带,海苔
海报,画报
海报,黑板报
哈密瓜,西瓜
果汁原,粒粒橙
果粒橙,鲜橙多
贵妃醉酒,黛玉葬花
光棍节,情人节
冠军,状元
冠军,第一
谷歌,雅虎
古筝,吉他
古龙,金庸
宫锁心玉,宫锁珠帘
宫保鸡丁,辣子鸡丁
公主,灰姑娘
公主,格格
公主,白天鹅
公交,地铁
工藤新一,福尔摩斯
歌手,艺人
高血压,高血糖
高富帅,黑木耳
干洗机,甩干机
富二代,高富帅
副教授,助教
副教授,教授
副教授,讲师
凤姐,芙蓉姐姐
芬达,雪碧
肥肉,胖子
放心,省心
放心,费心
饭桶,饭碗
犯错,认错
反射,折射
反恐精英,英雄联盟
反恐精英,穿越火线
法师,讼师
发票,收据
豆奶,豆浆
斗转星移,移花接木
动物园,海洋公园
动物,植物
动滑轮,定滑轮
董永,许仙
东京,首尔
东方神起,至上励合
东方不败,天山老妖
电影,电视剧
电影,电视
电风扇,空调
电动车,自行车
迪奥,香奈儿
盗墓笔记,鬼吹灯
当当网,淘宝网
当当网,糯米网
当当网,赶集网
蛋挞,蛋糕
蛋糕,面包
大白兔,金丝猴
打扫,整理
词不达意,语无伦次
床单,被子
厨艺,手艺
厨艺,棋艺
厨艺,茶艺
初吻,初恋
丑小鸭,灰姑娘
丑小鸭,公主
丑小鸭,白天鹅
成功,胜利
晨光,真彩
姹紫嫣红,花团锦簇
姹紫嫣红,百花齐放
捕快,警察
菠萝派,薯条
玻璃,镜子
波涛汹涌,风平浪静
病毒,细菌
冰棍,雪糕
冰川,瀑布
表扬,褒奖
辩论,辩驳
辩解,辩论
辩解,辩驳
辩白,辩论
辩白,辩解
辩白,辩驳
壁纸,贴画
壁画,壁纸
碧螺春,铁观音
必胜客,麦当劳
必胜客,肯德基
笔下文学,起点小说
笔下文学,顶点小说
比萨,馅饼
爆竹,礼炮
爆竹,鞭炮
暴露,膨胀扩大
抱枕,枕头
保安,保镖
褒奖,褒扬
包子,水饺
包子,饺子
包青天,狄仁杰
棒棒糖,泡泡糖
绑架,绑票
绑匪,绑票
绑匪,绑架
帮凶,帮手
帮凶,帮工
帮会,帮凶
帮会,帮手
帮会,帮工
帮工,帮手
班主任,辅导员
班主任,班长
百花齐放,花团锦簇
百度文库,起点小说
百度,雅虎
百度,谷歌
白酒,葡萄酒
白酒,鸡尾酒
白金,黄金
白富美,黑木耳
白富美,高富帅
白富美,矮穷挫
八路军,新四军
八路军,日军
澳门,香港
奥黛丽赫本,玛丽莲梦露
暗恋,相思
安踏,特步
安全带,安全套
矮穷挫,黑木耳
矮穷挫,高富帅
